L_M1_foot,L_M1_hand,L_M1_tongue,L_PMd,L_S1S2,R_M1_foot,R_M1_hand,R_M1_tongue,R_PMv,R_S1S2,SMA
9.131483452142179214e-02,-7.796518602477738868e-01,-1.832956801145952053e+00,1.038835299849399485e+00,-1.477884284779774182e+00,9.322033418781203729e-01,-8.736243688418530162e-01,-2.039403042521075626e+00,-5.949066129875254516e-01,-8.948947290200934823e-01,-7.362677832339311612e-01
-1.906024833319312384e+00,-2.484254820624199056e-01,-8.861359653434309758e-01,9.544667321498011558e-01,-2.494494513557953264e-01,-5.526127615368369161e-01,-8.569510413772299939e-01,-1.430035468627695483e+00,-1.536394647717345130e+00,5.377104611029061010e-01,-1.947835772467710336e-01
-1.265162126200156112e-01,2.122737066029291297e-01,-6.734720498364681340e-01,-5.823732262146825711e-01,-6.602572827606969508e-01,1.694683970600569800e-01,8.539931284461108607e-01,-9.412813790464820141e-01,3.745017288454847160e-01,-1.323263776249538892e-01,6.805206479760053107e-01
-1.800271964071106678e+00,3.197570559321034622e-01,-4.434049427305695734e-01,6.065008408126094236e-02,-2.519139687684452955e-01,-4.499165026973852566e-01,-2.839294112386899771e-01,-9.545867260740203974e-01,-1.175073104884595709e+00,-1.247942849964030904e-01,-5.083141137289373113e-01
-9.662250981029687491e-01,4.399518991461529582e-01,-8.769945326374811723e-01,-8.679275974912033231e-02,-3.589295135744801080e-01,-1.731663986294187607e+00,5.486015401150161341e-02,-7.912380171780637461e-01,-3.237426808163458292e-01,-7.113471489963876238e-01,-1.486453933131433258e+00
-4.364509325897148462e-01,-1.025717603970454084e+00,-5.487297667313610905e-01,-2.030587250947334804e-02,-7.699473177808742186e-01,6.700711034370951946e-01,-7.365993927553957654e-01,-6.390837222044103427e-01,-8.633929744344925883e-02,-6.083843692315368257e-01,-2.081332958051332060e-01
9.370994491582781416e-01,1.864370641850719365e-02,-1.953784411565317736e-01,8.765137538881374590e-01,-2.246036490582901113e-01,2.272882103064372217e+00,4.471255444490828124e-01,-8.359275827152289340e-01,5.468780506675323672e-01,8.762475398023647499e-02,1.047548022451586736e+00
1.723967479258093016e+00,-4.738910401658956717e-01,1.162200327633458041e+00,1.056347252098311484e+00,-1.594216037167654199e-01,-2.392785356631748905e-01,5.852533329333052814e-01,4.827939180308539191e-01,5.774161403493802691e-01,8.085137230586751933e-01,-4.160330583596689169e-01
1.382610595166837930e+00,8.151285237037468878e-01,4.021258121428137322e-01,3.384398765108453389e-01,-6.802865450646152778e-01,2.630952409498251710e-01,2.898612498946858129e-01,5.589414912114349931e-01,7.029838993093933119e-01,-1.970075218581745391e+00,-2.954922117111944968e-01
-6.348455603028062920e-15,1.077445604617256391e-14,2.154609470942450759e-15,3.691243505572099839e-15,2.166856418220083402e-15,-1.814000970860973950e-15,1.514467374177404103e-14,2.545473340559977365e-15,4.312103343419138708e-15,1.520113729291907292e-15,-6.201032127439398639e-15
