foot__Left_3b,foot__Left_4,foot__Right_3b,foot__Right_4,hand__Left_3b,hand__Left_4,hand__Right_3b,hand__Right_4,tongue__Left_3b,tongue__Left_4,tongue__Right_3b,tongue__Right_4,whole__Left_1,whole__Left_2,whole__Left_3a,whole__Left_55b,whole__Left_5L,whole__Left_5m,whole__Left_6a,whole__Left_6d,whole__Left_6ma,whole__Left_6mp,whole__Left_6r,whole__Left_6v,whole__Left_SCEF,whole__Right_1,whole__Right_2,whole__Right_3a,whole__Right_55b,whole__Right_5L,whole__Right_5m,whole__Right_6a,whole__Right_6d,whole__Right_6ma,whole__Right_6mp,whole__Right_6r,whole__Right_6v,whole__Right_SCEF
-2.409846909868237130e+00,-1.508183852909366074e+00,-1.064154526828759328e+00,-2.234913511267750119e-01,-1.604310582643465322e-01,-5.427973471726420529e-01,-1.528876758180454765e+00,-1.287686818568617220e+00,-2.876611452156871529e+00,-2.584746261371505760e+00,-1.601582569570390246e+00,-2.249194534471931295e+00,-9.456836567061140952e-01,-1.329949939217144106e+00,-1.227466919114114763e+00,7.449688614186782409e-01,-1.090463798800145989e+00,-2.469544036264788911e+00,-9.084833678766019993e-01,-8.432410304813049429e-01,2.853968140685284594e-01,-8.642083973711264244e-01,4.285392241753886999e-01,-1.511048411846979578e+00,-1.298204900410039331e-01,-5.493270439803581429e-01,-7.331086082166012874e-01,-1.352451696449591845e+00,-8.303148213880354733e-01,-1.223950648382108097e+00,-9.378615665752790820e-01,-1.203573876689052025e+00,-1.043347266580522792e+00,4.777980294297961561e-01,-3.396578236028448550e-01,-1.376390827111018123e+00,-1.436698903687819495e+00,-1.256530556339518823e+00
-1.221384134509146957e+00,4.815849743735149402e-01,-9.887413110788514370e-01,8.420116353521897024e-01,-4.327262851319257399e-03,5.380095851340270519e-02,6.526647026136815910e-01,-1.075827542697998102e-01,-6.961874340851681442e-01,-1.009840831303734587e+00,1.268484932995164183e-01,-5.786222940571633666e-01,-3.999247497716360566e-01,1.103537944365974521e+00,-1.308899188836016858e+00,2.766438978823523520e+00,-5.230957742806753297e-01,-6.266798049389149527e-01,1.760069499632192835e+00,6.613748104816866702e-01,2.447371065235477705e-01,-3.734300186383440745e-02,1.243451947683435810e+00,7.211671846053108181e-01,7.443838965331639468e-01,-4.098722137241723185e-01,1.047082028232547701e+00,7.726064654240873963e-01,4.869383104071791646e-01,-8.082958696879934957e-01,3.290993151262413402e-02,8.938867797053335895e-01,-6.571870831313217920e-01,5.870463774983528671e-01,-8.684740522033234100e-01,-4.787319242329328151e-01,-4.143714561399026719e-01,-8.149880828619017192e-01
-2.786349389827033618e-01,2.036762639770756458e-02,6.505660720526315055e-01,4.097749825300859849e-01,-5.849555857952692950e-01,2.416101195499822663e-01,-1.462996769628382987e+00,-6.256173181277194795e-01,-8.985395829019523495e-01,-5.086132850198913369e-01,-7.314713730075312892e-01,-1.190862072914638636e+00,1.766401111776028376e-01,8.009533777285258171e-01,-5.492485815132462923e-01,9.661125327783399719e-01,2.923606258068217612e-01,3.372454542001275812e-01,-3.150390266152629931e-02,6.873210623712547873e-01,-2.270389606168949082e-01,4.730306147698597891e-02,2.035584728234630436e+00,3.045392169113956271e-01,4.782053569575940750e-03,-6.830579846934325960e-01,-4.411451342191960445e-01,-1.560280019694886694e-02,-1.793389586411941461e-01,-2.577634327248616852e-01,1.072937888267584849e+00,-4.362398141727079071e-01,-1.077702010090250351e+00,3.127253243803214400e-02,1.526860411024255904e-01,3.922157840243774285e-02,-1.659924756668371248e+00,-4.567841548140910701e-01
-2.607849500965566669e-01,-5.420010854167962161e-02,8.855986300551482726e-01,6.287535791054031931e-01,7.063212120813234796e-01,-9.933144592006223350e-01,-6.922771966412546440e-01,-9.748901188898405346e-02,3.022543292577266616e-01,3.610168834774815649e-01,-7.775142546360929163e-01,2.251191090027719333e-01,-3.315586254920782072e-01,-8.368881476100138439e-01,-1.470216727030606796e+00,-8.340417013435963423e-01,1.841534477905064360e-01,5.279096397222211579e-01,-4.675736255385333773e-01,-6.183514958138210810e-02,-7.966627398228177670e-01,-5.137117875318417681e-01,-3.762320979681591515e-01,3.579036764404157078e-01,-5.421592916218523905e-01,-9.762626006031194237e-01,-6.627408332429932658e-01,4.808425240085917873e-01,-1.741702039601803920e+00,-1.398024261004878477e-01,1.342932901571671223e-01,-4.177888106077581321e-01,-9.977854115713963301e-01,-1.180269059163107537e+00,1.536173183119334540e-01,-2.663391441769487611e-01,-1.357109479559123644e+00,-1.025043983979254003e+00
-1.843138990924655662e-01,-8.310831209637759009e-01,3.817900425628896754e-01,7.345960339531555361e-01,-2.564758855115014669e-01,7.649926939354040334e-01,2.662649775243348671e-01,1.194292424830160383e-02,6.691009226096793494e-01,9.486372555453949085e-01,5.130641226790833009e-01,9.617106843749743950e-02,-4.637597759322026891e-01,-2.691535888009345401e-01,1.212040880482389227e+00,-6.573069988964495014e-01,-5.476048122315768651e-01,2.599590841363331739e-01,-8.631295540483910900e-01,-4.945384242077139891e-01,-2.655357112166141786e-01,3.675924217424735296e-01,-1.100451134204103676e+00,-2.212166469097438526e-01,1.078945372476837861e+00,-8.240358215131307063e-01,-4.194139800325201728e-01,7.305292379456734819e-01,-2.640756672082317791e-01,-4.574740918203737960e-01,-1.195717192461235534e+00,-3.073149132301952746e-01,-7.827294391059346212e-01,-1.169205368282977942e+00,1.044575783214659159e+00,-1.825238504531502937e+00,-5.293727481567687132e-01,1.060858808964907585e+00
3.517499484818347733e-01,-5.094310327280880679e-02,-3.151367568516980772e-02,-4.962188969252841891e-02,9.060991014135727495e-01,4.685961426363814963e-01,-5.133101519394942525e-01,-1.601385012538399100e-01,-7.109224767564575886e-01,-6.721093860524530728e-01,-2.544870340860985736e-01,-1.602240223965226473e+00,5.085436318436484249e-02,-1.643475610050711411e-01,3.061899670044408994e-01,3.278764413952448553e-01,-3.707809965914358741e-01,2.058558748067806921e-01,-2.598260336165523765e-01,1.451597393434410632e+00,1.943076257981317223e+00,2.926339918172932708e-01,1.341343212777401872e+00,-1.147285535137269719e+00,1.372761351154577536e+00,5.614831326696340108e-01,-5.708836813977617997e-01,-1.496304012206758349e+00,1.453217755192890870e+00,-3.557151486618562175e-01,-6.449438913311462684e-01,6.424347952466162755e-03,7.642454109440504073e-01,7.405610439687921875e-01,2.390806661842920233e-01,8.046904997267588788e-01,-1.223929640678462327e+00,2.106573164179867064e+00
6.289612988004319449e-01,-1.125069333519495673e+00,-2.305768195061753956e-01,-2.261731371919922795e-01,1.832174249879913175e+00,-6.138562638107876168e-01,1.955106548110433218e-01,6.966070402658381018e-04,-3.192790880181015645e+00,-2.161177992092177647e+00,-1.989944167007768661e+00,-2.674517658232494544e+00,-9.260171176771709867e-01,-3.553415561429019709e-01,-1.902204370307002179e+00,-4.747458040936523571e-01,-1.091803078514919090e-01,-1.380162371060057458e+00,-4.738661028542874853e-01,-2.577630140578570095e-01,-1.069985748272520132e+00,-8.143067899710900726e-01,-6.980546907302087600e-01,-1.204919370543823920e+00,2.830646972340614131e-01,-5.587143114103693131e-01,-1.074078777841165788e+00,-1.635574150855599651e+00,7.731588177843756737e-01,-3.406130012211974756e-01,-1.593954175666628004e+00,9.509469522296563060e-01,-6.256248393684903375e-01,-8.321342595599042768e-01,-6.072710541617876157e-01,-7.094005417947031322e-01,-1.398872608697946163e+00,6.027970545629839361e-01
5.646474962271393894e-01,1.035169015275189786e+00,-8.862984162559962575e-01,-1.016369846966158397e+00,1.455749870771601007e+00,7.996237995512078811e-01,-7.103418792579530017e-01,-8.250177849263785612e-01,1.087765878206693015e+00,1.820460170823486878e+00,9.933578256725271727e-01,1.370950244978589749e+00,-1.096860947119054075e-01,4.045002842328098147e-01,1.437018746067173280e+00,-1.249513296271663743e+00,5.079092267136763317e-01,4.451631860382045947e-01,-7.173404446352257269e-01,8.897755766956673418e-02,-1.829288071535839222e-01,-7.091621561307378530e-01,7.657082199512742493e-01,1.465125276394400045e+00,5.083748182807815846e-02,1.217930256832939540e+00,7.448756791564826729e-01,-1.945360756979030548e+00,1.268417505778627330e-01,-1.302027045354230694e-01,-7.789814519206364474e-02,-9.397084532331320128e-01,4.613690414217980207e-01,9.434296045506616879e-02,-7.115021110796739823e-01,1.052419816633374694e+00,1.062231306316446133e+00,1.860156304740054334e-01
2.067743198438797947e+00,8.687176954348423408e-01,8.841536699711585179e-01,-7.271074524637451963e-01,1.445160285054003513e+00,4.546702804766439288e-01,-2.346166811164601407e-01,2.264248587944134861e-01,2.944098491782038529e+00,2.234127278091421420e+00,1.715202521786471479e+00,2.642380155302255229e+00,1.861455030455613890e+00,1.345044209668540658e+00,2.304022147485413008e+00,1.028104889413296474e+00,1.064379331904660608e+00,1.116139358315785035e+00,1.518745720081807971e+00,2.245315902212614567e+00,1.013324331843019399e+00,1.484529361970016614e+00,-1.957777484715644556e-01,6.849028881164856974e-01,1.778320245572153624e+00,2.548499188583338571e-01,1.294320259917956184e+00,1.458611368236023553e+00,1.160514831043807593e+00,2.254064340400418143e+00,1.541520294915895262e+00,1.565415394543645311e+00,1.880296389716607397e+00,8.473417528035460666e-01,1.051427522995088681e+00,6.549304433414326887e-01,1.029368926977815013e+00,2.174900617885787479e+00
2.448402192115582743e+00,4.433126793028995261e-01,3.224133189175535374e-01,5.665996932254215718e-02,5.023576706951435877e-01,1.164276307187620541e+00,1.033901942212943847e+00,1.400253484525014969e+00,1.945436433415989930e+00,1.776761381694581754e+00,2.461604904344487643e+00,2.244339065731914218e+00,6.364728127395304913e-01,6.032799579970701265e-01,2.430821135125243337e+00,5.525459641467099781e-01,8.685008686518388421e-01,1.912819359075510484e+00,4.002210063715723187e-01,-4.979206230725806148e-01,5.806274867462881684e-01,1.774841686556960507e+00,-1.266310868032294534e+00,-1.421071191254703325e-01,1.269345142264878934e+00,1.381389198093384785e+00,8.020656001486640152e-01,7.399724050923843499e-02,8.389060688160037138e-01,8.515577691777778124e-01,6.220091382198348340e-01,1.084711565748345263e+00,1.770554662981348892e+00,-3.635634169538574101e-01,4.744373266462292849e-01,-1.787794939654880066e-01,1.378395688649417750e+00,4.104110755246580533e-01
